Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s)
1684782926601501,476.37140459296575,-564.4464789806973,130.84611276417172
1684782926617501,137.62111848630502,-808.0109864957656,24.36865796902407
1684782926633502,-431.7540245670252,-335.25597009231706,-97.73403524834055
1684782926649502,167.98657206073108,-184.13061722743578,-162.5848783093004
1684782926665502,269.8252841992828,162.40177004654015,-116.65522240024416
1684782926681502,218.34134431982898,29.526207370107386,-78.66025787747014
1684782926697503,168.32227054245823,45.94491493095302,-68.13153276874948
1684782926713503,97.27626459143971,-42.801556420233396,-51.6517891203174
1684782926729503,37.91866941329067,-16.311894407568502,-28.274967574578454
1684782926745504,59.95269703212034,44.08331425955612,-7.339589532310924
1684782926761504,73.59426260776672,123.85748073548484,6.515602349889377
1684782926777504,98.95475700007637,112.19958800640893,12.314030670633997
1684782926793504,85.67940794995025,66.39200427252604,3.463797970550104
1684782926809505,96.51331349660495,51.83489738307776,9.29274433508806
1684782926825505,92.48493171587688,71.91577019913029,7.125963225757232
1684782926841505,79.20958266575099,48.63050278477158,-12.222476539253762
1684782926857505,39.29198138399329,-30.289158464942375,-8.834973678187225
1684782926873506,82.38345922026383,77.56160830090789,-7.461661707484495
1684782926889506,101.79293507286184,161.5777828641185,-12.710765239948046
1684782926905506,148.66865033951308,294.60593575951793,-6.485084306095928
1684782926921508,106.30960555428396,317.4334325169757,7.675288014038301
1684782926937509,85.77096208133048,356.95429922941935,5.569542992294146
1684782926953509,41.82497901884494,456.3515678644999,0.5340657663844013
1684782926969509,9.506370641641865,455.40550850690465,-34.01235980773629
1684782926985509,-18.417639429312658,408.28564888990627,-25.864042114900485
1684782927001510,-32.82215609979403,322.6520180056459,-4.86762798504617
1684782927017510,77.25642786297385,243.1219958800641,45.02937361715112
1684782927033510,128.86243991760125,151.56786449988545,27.725642786297385
1684782927049511,116.25848783093011,115.46501869230178,2.2430762188143945
1684782927065511,33.24940871290164,86.44235904478523,16.067750057221247
1684782927081511,-23.08690012970169,-65.04921034561687,31.754024567025454
1684782927097511,-78.90440222781729,-287.76989394979785,38.406958113984956
1684782927113512,-102.37277790493624,-443.5950255588616,52.9945830472268
1684782927129512,-104.66163118944075,-463.40123598077366,45.3650720988785
1684782927145512,-115.86175326161595,-486.01510643167774,40.54322117952256
1684782927161512,-174.24277103837653,-515.8007171740292,28.183413443198106
1684782927177513,-154.28397039749757,-481.1322194247348,21.774624246585745
1684782927193513,-150.49973296711687,-432.7916380560006,15.396353093766606
1684782927209513,-231.25047684443427,-259.23552300297547,-10.75761043717091
1684782927225514,-126.20737010757614,-167.10154879072252,-30.35019455252916
1684782927241516,-94.04135194934008,-23.971923399710136,-42.64896620126649
1684782927257516,-91.99664301518271,2.853437094682249,-28.36652170595869
1684782927273516,-74.17410543984124,-1.937895780880467,-14.724956130311966
1684782927289517,28.85481040665286,55.710688944838694,-18.265049210345637
1684782927305517,34.10391393911664,247.33348592355242,-35.568780041199375
1684782927321517,21.71358815899896,348.16510261692224,-48.142214084077295
1684782927337517,94.22446021210044,326.77195391775376,-51.255054551003354
1684782927353518,96.60486762798519,227.9850461585413,-32.70008392462046
1684782927369518,85.83199816891738,-115.83123521782261,-44.75471122301053
1684782927385518,61.905851834897476,-566.1554894331273,-0.9613183794918996
1684782927401518,-46.1585412375066,23.422598611428953,23.880369268329787
1684782927417519,52.53681239032585,306.99626153963527,-23.270008392462046
1684782927433519,67.3685816739146,61.11238269626915,-16.433966582742073
1684782927449519,53.23872739757394,-24.063477531090257,-4.928664072632955
1684782927465520,49.179827573052535,-34.866865033951285,2.7924010070954637
1684782927481520,39.93286030365471,4.409857328145222,10.482948043030433
1684782927497520,22.598611429007292,25.223163195239067,20.279240100709444
1684782927513520,25.101091020065496,94.0413519493402,25.925078202487157
1684782927529521,62.85191119249248,133.65377279316385,45.975432974746354
1684782927545521,96.72693980315876,156.26764324406827,43.80865186541541
1684782927561554,97.61196307316709,197.74166475928882,20.737010757610392
1684782927577554,71.51903562981602,83.84832532234668,11.734187838559478
1684782927593554,19.089036392767184,-4.409857328145222,29.80086976424809
1684782927609554,-62.63828488593879,-37.49141680018306,35.47722590981925
1684782927625555,-67.33806363012127,-90.40970473792629,39.749752040894236
1684782927641555,-61.11238269626915,-210.3456168459602,34.439612420844014
1684782927657555,-85.9845883878844,-129.50331883726255,9.44533455405508
1684782927673555,-206.04257267109188,-251.1787594415198,-27.725642786297385
1684782927689556,-77.43953612573432,-272.5108720531015,-31.631952391851655
1684782927705556,5.264362554360218,-99.96185244525827,-36.42328526741437
1684782927721556,93.15632867933164,-126.72617685206376,-37.88815136949722
1684782927737557,30.869001297016666,-145.92202639810796,-90.6233310444801
1684782927753557,-4.287785152971651,-190.9971770809491,-107.31670099946587
1684782927769557,4.745555809872599,-179.8580910963608,-99.35149156939042
1684782927785557,95.07896543831544,-17.56313420309766,-65.84267948424508
1684782927801558,125.26131074998102,77.68368047608146,-56.41260395208667
1684782927817558,161.76089112687896,159.4415197985811,-59.52544441901273
1684782927833558,170.18387121385535,144.97596704051261,-20.462348363469914
1684782927849558,145.40321965362023,148.11932555123212,13.35164415960935
1684782927865559,77.19539177538718,64.31677729457533,9.44533455405508
1684782927881591,48.661020828564915,-3.5248340581368893,-6.759746700236519
1684782927897592,53.42183566033418,45.21248187991159,0.5951018539711868
1684782927913592,31.60143434805832,114.09170672159917,12.80231937132828
1684782927929592,9.56740672922865,96.45227740901828,0.41199359121083035
1684782927945593,-24.277103837644063,54.093232623788936,8.22461280231937
1684782927961593,-50.73624780651562,16.98329137102303,12.161440451666977
1684782927977593,-46.40268558785374,6.2714579995422355,-1.7853055619134466
1684782927993593,-15.060654612039343,14.877546349278987,-21.19478141451134
1684782928009594,30.9605554283969,71.1528191042953,-30.014496070801897
1684782928025594,73.89944304570076,96.48279545281162,-23.666742961776208
1684782928041594,95.78088044556353,73.74685282673386,-11.215381094071859
1684782928057594,47.10460059510183,-25.741969939726914,23.69726100556943
1684782928073595,-10.75761043717091,-36.789501792935084,49.75967040512705
1684782928089595,-6.912336919203426,49.69863431754038,47.10460059510183
1684782928105595,-39.444571602960195,76.58503089951932,44.78522926680398
1684782928121595,-97.30678263523305,27.420462348363344,49.942778667887524
1684782928137596,-124.52887769893948,-64.25574120698866,61.23445487144272
1684782928153596,-78.78233005264372,-81.58999008163585,68.03997863736936
1684782928169596,-7.431143663691159,-48.020141908903724,49.02723735408563
1684782928185597,46.03646906233325,-11.154345006485073,35.35515373464568
1684782928201660,71.70214389257649,16.800183108262672,42.22171358815899
1684782928217661,62.91294728007938,70.17624170290674,34.8668650339514
1684782928233661,57.08400091554131,140.18463416495,15.2437628747997
1684782928249662,25.101091020065496,218.52445258258945,0.8087281605248791
1684782928265663,33.0052643625545,241.53505760280768,-1.2054627298390415
1684782928281664,76.58503089951932,238.30014496070817,17.441062027923977
1684782928297664,80.09460593575955,201.0070954451819,18.265049210345524
1684782928313665,50.1564049744411,121.81277180132747,0.3204394598305953
1684782928329666,-3.006027313649156,63.15709163042652,-7.522697795071281
1684782928345667,14.602883955138395,68.31464103150984,0.41199359121083035
1684782928361667,37.857633325704,75.60845349813076,8.74341954680699
1684782928377668,17.624170290684333,33.157854581521406,24.42969405661097
1684782928393669,-13.138017853055544,-38.28488593881127,34.439612420844014
1684782928409670,-47.592889295796226,-145.70840009155415,39.44457160296042
1684782928425670,-69.47432669565876,-239.79552910658435,44.2969405661097
1684782928441671,-111.74181734950798,-287.86144808117797,30.991073472190237
1684782928457672,-171.28252079041727,-244.86152437628755,8.377203021286277
1684782928473672,-84.55024032959489,-100.6942854962997,2.090485999847374
1684782928489673,27.176317998016202,-15.640497444113862,13.90096894789042
1684782928505674,121.78225375753414,85.4352635996031,8.865491721980561
1684782928521698,174.09018081940962,165.66720073243323,4.776073853665935
1684782928537698,195.02555886167693,188.37262531471742,-6.9733730067902115
1684782928553699,186.05325398641958,185.41237506675816,-22.171358815899907
1684782928569700,177.7218280308232,177.75234607461675,-13.748378728923399
1684782928585701,165.14839398794538,112.68787670710321,4.135194934004744
1684782928601701,13.565270466163042,-78.11093308918896,-6.301976043335571
1684782928617702,-12.314030670633997,-155.2300297550927,-23.08690012970169
1684782928633703,6.118867780575215,-84.27557793545441,2.7924010070954637
1684782928649704,18.539711604486115,22.842755779354434,34.8668650339514
1684782928665704,36.118104829480444,72.83131151293196,60.22735942626082
1684782928681705,45.578698405432306,38.803692683299005,62.48569466697177
1684782928697706,73.47219043259315,-2.5177386129548722,32.97474631876116
1684782928713707,82.32242313267716,-27.93926909285119,21.13374532692444
1684782928729707,73.01441977569243,-60.502021820401296,25.223163195239067
1684782928745708,67.06340123598079,-85.43526359960333,22.50705729762717
1684782928761709,57.114518959334646,-107.6218814373998,25.253681239032403
1684782928777710,47.10460059510183,-113.72549019607845,40.54322117952256
1684782928793710,27.542534523536915,-138.7502861066605,29.739833676661192
1684782928809711,13.717860685130063,-154.28397039749757,14.633401998931845
1684782928825712,24.2465857938505,-132.95185778591588,1.3580529488059483
1684782928841735,36.45380331120782,-99.74822613870447,-11.154345006485073
1684782928857736,79.42320897230479,-79.45372701609836,0.7476920729380936
1684782928873737,112.59632257572298,-66.02578774700544,-18.08194094758528
1684782928889738,159.62462806134135,-70.05416952773328,-17.898832684824924
1684782928905738,128.22156099794006,-124.01007095445186,-10.727092393377575
1684782928921739,104.35645075150683,-90.83695735103379,-22.4460212100405
1684782928937740,100.99946593423374,-79.17906462195776,-28.030823224231312
1684782928953741,112.19958800640893,-80.36926832990014,-42.46585793850613
1684782928969741,157.8545815213247,-80.73548485542085,-55.89379720759905
1684782928985742,225.63515678645012,-132.4635690852216,-81.83413443198299
1684782929001743,253.3150225070574,-198.96238651102465,-119.2492561226826
1684782929017744,90.1350423437857,-195.88006408789192,-88.76173037308308
1684782929033744,92.9121843289845,-90.07400625619903,-68.89448386358436
1684782929049745,94.34653238727401,-35.50774395361259,-84.97749294270238
1684782929065746,78.17196917677575,-18.020904859998495,-109.91073472190442
1684782929081747,71.39696345464245,5.325398641947004,-110.3990234225987
1684782929097747,95.99450675211733,20.37079423208968,-105.30251010910195
1684782929113748,119.73754482337677,52.26214999618537,-126.26840619516292
1684782929129749,110.76523994811942,61.32600900282296,-98.89372091248947
1684782929145750,79.97253376058597,37.55245288776996,-62.66880292973224
1684782929161773,31.84557869840546,4.928664072632955,-33.03578240634772
1684782929177774,32.88319218738093,1.937895780880467,-5.1117723353933116
1684782929193775,23.72777904936288,-10.208285648889841,14.908064393072323
1684782929209776,26.626993209735247,-7.583733882658066,34.0123598077364
1684782929225776,25.680933852140015,-3.768978408484031,32.02868696116593
1684782929241777,19.54680704966802,19.302662699320877,15.36583504997327
1684782929257778,12.558175020981139,56.41260395208678,-19.150072480354083
1684782929273779,24.032959487296694,75.39482719157695,-22.995345998321568
1684782929289779,41.94705119401851,88.059815365835,-14.145113298237561
1684782929305780,40.39063096055543,98.16128786144827,-2.0294499122605885
1684782929321781,34.8668650339514,97.00160219729923,11.825741969939713
1684782929337782,21.347371633478247,64.10315098802175,27.420462348363344
1684782929353782,-0.045777065690117524,19.485770962081233,40.024414435034714
1684782929369783,-11.490043488212336,0.7171740291447577,38.62058442053876
1684782929385784,-4.592965590905578,3.555352101930225,44.5716029602504
1684782929401785,5.874723430228073,20.279240100709444,49.240863660639434
1684782929417785,8.987563897154132,34.04287785152974,49.301899748226106
1684782929433786,-0.5340657663844013,37.064164187075676,52.689402609292756
1684782929449787,-8.407721065079727,36.63691157396829,56.29053177691321
1684782929465788,-8.133058670939135,38.43747615777829,59.18974593728535
1684782929481811,-7.797360189211872,40.970473792629946,55.22240024414441
1684782929497812,-6.790264744029855,38.19333180743115,45.82284275577945
1684782929513814,-12.863355458915066,32.48645761806688,39.383535515373524
1684782929529815,-15.457389181353392,19.94354161898218,32.88319218738093
1684782929545816,-13.473716334782921,9.140154116121153,27.389944304570008
1684782929561817,-9.29274433508806,5.9357595178148586,26.749065384908818
1684782929577818,-6.088349736781879,6.515602349889377,26.596475165941683
1684782929593820,-3.219653620202962,11.97833218890662,25.65041580834668
1684782929609821,-0.38147554741738077,21.59151598382539,22.873273823147883
1684782929625822,0.5035477225909517,36.39276722362115,17.593652246890883
1684782929641823,-1.266498817425827,45.273517967498265,15.793087663080769
1684782929657825,-6.424048218509142,39.749752040894236,17.868314641031475
1684782929673826,-13.565270466163042,28.45807583733881,21.01167315175087
1684782929689827,-13.168535896848994,28.000305180437863,24.704356450751447
1684782929705828,-6.393530174715806,44.02227817196922,19.91302357518873
1684782929721830,1.3275349050126124,61.69222552834367,14.69443808651863
1684782929737831,5.50850690470736,70.93919279774173,9.384298466468294
1684782929753832,3.891050583657602,73.16700999465934,8.1025406271458
1684782929769833,-2.6703288319218927,64.92713817044319,10.025177386129485
1684782929785834,1.3580529488059483,60.776684214541774,12.924391546501852
1684782929801849,19.333180743114326,71.97680628671696,12.252994583047212
1684782929817850,41.672388799878036,93.33943694209188,7.736324101625087
1684782929833851,58.36575875486392,107.74395361257348,6.240939955748786
1684782929849853,57.51125352864892,93.61409933623236,11.703669794766142
1684782929865854,48.32532234683754,65.3543907835508,14.145113298237561
1684782929881855,31.0215915159838,36.45380331120782,12.344548714427333
1684782929897856,19.058518348973735,21.59151598382539,13.962005035477205
1684782929913858,7.888914320591994,9.079118028534367,15.21324483100625
1684782929929859,-1.4801251239795192,8.316166933699492,14.02304112306399
1684782929945860,-10.269321736476627,12.100404364080191,12.80231937132828
1684782929961861,-17.99038681620516,8.1025406271458,14.938582436865772
1684782929977862,-22.354467078660264,3.799496452277367,16.342412451361838
1684782929993864,-27.389944304570122,-0.16784924086368846,16.250858319981603
1684782930009865,-31.784542610818676,-5.569542992294146,11.886778057526499
1684782930025866,-39.68871595330734,-18.417639429312658,1.052872510872021
1684782930041867,-40.05493247882805,-22.598611429007406,-7.431143663691159
1684782930057869,-32.12024109254594,-18.966964217593727,-5.447470817120575
1684782930073870,-31.387808041504513,-21.011673151750983,-6.912336919203426
1684782930089871,-32.70008392462046,-24.795910582131683,-8.1025406271458
1684782930105872,-32.12024109254594,-19.97405966277563,-10.818646524757696
1684782930121856,-17.654688334477783,-4.501411459525457,-15.274280918593035
1684782930137858,-2.7008468757152286,-5.416952773327239,-22.079804684519786
1684782930153859,13.19905394064233,-0.1373311970702389,-20.035095750362416
1684782930169860,19.54680704966802,1.3275349050126124,-26.19974059662775
1684782930185861,16.098268101014696,4.776073853665935,-27.206836041809765
1684782930201862,3.0365453574426056,2.4567025253680868,-34.04287785152974
1684782930217864,-0.8392462043183286,-6.942854962996876,-48.569466697184794
1684782930233865,0.5035477225909517,-5.752651255054502,-47.25719081406885
1684782930249866,10.08621347371627,7.980468451972229,-56.74830243381405
1684782930265867,32.30334935530641,9.781033035782343,-65.84267948424508
1684782930281869,44.66315709163041,12.619211108567924,-74.81498435950255
1684782930297870,35.660334172579724,4.715037766079149,-76.52399481193254
