Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g)
1684782926601501,-0.12640573739223315,-0.3617608911268788,0.8211184863050276
1684782926617501,-0.19342336156252404,-0.36908522163729307,-1.6579232471198595
1684782926633502,-0.2138094148165104,0.034851606012054503,-0.4951857785915923
1684782926649502,-0.1560692759594109,0.39996948195620696,-2.552590218966964
1684782926665502,-0.2687418936446173,0.5768520637827113,-1.103593499656672
1684782926681502,-0.08612191958495474,0.35431448844129054,-1.2913405050736246
1684782926697503,-0.24921034561684596,0.27191577019913016,-0.9579613946746015
1684782926713503,-0.22418554970626392,0.24713511863889526,-1.556359197375448
1684782926729503,-0.15912108033875016,0.2565346761272602,-1.5303578240634774
1684782926745504,-0.14569314106965736,0.23126573586633103,-1.5636835278858627
1684782926761504,-0.2394445716029603,0.17938506141756339,-1.0176546883344777
1684782926777504,-0.0745250629434655,0.06549172198062081,-0.8324711985961701
1684782926793504,-0.17096208133058655,0.11139085984588348,-0.8571297779812315
1684782926809505,-0.06622415503166268,0.05365072098878443,-0.9584496833752958
1684782926825505,-0.009216449225604606,-0.17767605096513295,-0.7516594186312657
1684782926841505,0.17645532921339768,-0.1392233157854581,-0.5318074311436636
1684782926857505,0.14630350194552566,-0.15289539940489805,-1.0609903105210954
1684782926873506,-0.062317845426107965,-0.241519798580911,-0.932936598764019
1684782926889506,-0.036316472114137355,-0.15912108033875016,-0.784008545052262
1684782926905506,0.022278171969176697,-0.029968719005111666,-1.0952925917448693
1684782926921508,0.20685130083161685,-0.12274357213702602,-0.9224383916990919
1684782926937509,0.22650492103456177,-0.2339513237201496,-0.9365987640192261
1684782926953509,0.6084687571526661,-0.5813687342641338,-1.106767376211185
1684782926969509,0.40009155413138053,-0.25983062485694663,-0.8998550392919813
1684782926985509,0.650583657587549,-0.16668955519951156,-0.7188220035095751
1684782927001510,0.5918669413290605,-0.3856870374608987,-0.9041275654230563
1684782927017510,0.803662165255207,-0.5082475013351644,-0.8825207904173342
1684782927033510,0.8352788586251618,-0.2129549095902954,-0.9016861219195849
1684782927049511,0.5145952544441901,-0.10431067368581681,-0.24713511863889526
1684782927065511,0.5055619134813458,-0.030823224231326662,-0.23871213855191886
1684782927081511,0.7011215381094074,-0.15082017242694734,-0.392156862745098
1684782927097511,0.7172350652323187,-0.13873502708476382,-0.6723125047684442
1684782927113512,0.7190661478599223,-0.270817120622568,-0.716868848706798
1684782927129512,0.6205539024948497,-0.27875181200885013,-0.8224612802319373
1684782927145512,0.38410009918364274,-0.3522392614633403,-1.0972457465476464
1684782927161512,0.20355535210193043,-0.36530098420691237,-1.0688029297322044
1684782927177513,0.09735255970092282,-0.16803234912642084,-0.9822537575341421
1684782927193513,-0.03668268863965807,-0.1715724422064544,-0.7783932249942778
1684782927209513,-0.10211337453269254,-0.1832913710231172,-0.8208743419546809
1684782927225514,-0.19073777370870548,-0.13763637750820168,-0.7573968108644236
1684782927241516,-0.12713817044327458,0.12738231479362216,-0.7851071946288242
1684782927257516,-0.35480277714198527,0.3964293888761734,-1.292927443350881
1684782927273516,0.0844129091325243,-0.016906996261539575,-1.1132372014953842
1684782927289517,0.170107576104372,-0.023376821545738835,-1.2073548485542078
1684782927305517,0.3518730449378191,-0.12335393301289388,-1.356527046616312
1684782927321517,0.22906843671320676,-0.14947737850003806,-1.1616998550392919
1684782927337517,0.021057450217440987,-0.10040436408026254,-1.0546425574120697
1684782927353518,-0.16717784390020585,-0.019836728465705278,-1.4494239719234
1684782927369518,-0.12066834515907532,-0.02398718242160669,-1.9253833829251543
1684782927385518,2.967635614557107,0.2982833600366215,-0.17718776226443866
1684782927401518,0.21942473487449465,-0.15216296635385662,-0.8628671702143893
1684782927417519,0.2003814755474176,-0.07403677424277122,-1.4757915617608912
1684782927433519,0.08722056916151644,-0.03961242084382377,-0.9835965514610514
1684782927449519,0.06646829938200938,-0.018005645838101714,-0.9765163653009843
1684782927465520,0.12787060349431645,-0.02679484245059882,-0.874341954680705
1684782927481520,0.19098191805905262,-0.03179980163271523,-0.99140917067216
1684782927497520,0.29083695735103365,-0.09613183794918756,-0.9771267261768521
1684782927513520,0.5117875944151979,-0.017639429312581,-0.9993438620584421
1684782927529521,0.591989013504234,-0.03790341039139378,-1.0293736171511405
1684782927545521,0.3411306935225449,-0.12628366521705958,-1.0139925230792706
1684782927561554,0.2888838025482565,-0.1426413366903181,-1.1282520790417334
1684782927577554,0.11163500419623062,-0.1182269016556039,-0.9632104982070651
1684782927593554,-0.1115129320210575,-0.14154268711375595,-0.8086671244373234
1684782927609554,-0.15301747158007162,-0.2217441062027925,-0.6637674525062942
1684782927625555,-0.005188067444876765,-0.24872205691615168,-0.9750514991989014
1684782927641555,0.26654459449149304,-0.16473640039673443,-0.5492637521934842
1684782927657555,0.4213321126115819,-0.7147936217288473,-1.4967879758907454
1684782927673555,0.23871213855191886,-0.7685053788052185,-0.8999771114671549
1684782927689556,0.37616540779736063,0.467109178301671,-0.8059815365835048
1684782927705556,0.1205462729839013,0.1369039444571607,-0.7265125505455101
1684782927721556,0.002990768291752488,0.24371709773403527,-1.246540016784924
1684782927737557,-0.16839856565194156,-0.07428091859311836,-1.106767376211185
1684782927753557,-0.21490806439307253,-0.10064850843060968,-1.3081864652475774
1684782927769557,-0.18780804150453978,0.06732280460822437,-1.1194628824292363
