Timestamp (microseconds),Gyro X (°/s),Gyro Y (°/s),Gyro Z (°/s)
1682104743898681,9.506370641641865,6.332494087129021,0.8697642481116645
1682104743914676,8.804455634393776,3.372243839169869,0.2899214160372594
1682104743930671,6.1493858243686645,0.5951018539711868,1.7242694743266611
1682104743946666,0.07629510948345342,-1.9989318684672526,2.3651483939879654
1682104743962661,-2.090485999847374,-1.6632333867398756,2.639810788128443
1682104743978656,1.5411612115663047,-1.7853055619134466,2.2430762188143945
1682104743994651,2.2735942626077303,-1.4190890363927338,2.2430762188143945
1682104744010646,2.9449912260623705,-3.250171663996298,0.106813153276903
1682104744026641,7.125963225757232,-3.250171663996298,-2.0294499122605885
1682104744042636,9.719996948195558,-2.9449912260623705,-2.4872205691615363
1682104744058632,6.72922865644307,-5.813687342641288,-5.966277561608308
1682104744074627,5.142290379186647,-6.820782787823305,-8.62134737163342
1682104744090622,8.651865415426869,-6.9733730067902115,-7.858396276798658
1682104744106617,9.048599984740918,-5.569542992294146,-5.203326466773433
1682104744122612,7.980468451972229,-6.546120393682713,-6.301976043335571
1682104744138607,0.9918364232852355,-7.797360189211872,-10.910200656137931
1682104744154602,8.010986495765565,-6.88181887541009,-12.954909590295188
1682104744170597,6.240939955748786,-5.966277561608308,-13.290608072022565
1682104744186592,8.834973678187225,-3.8605325398641526,-10.482948043030433
1682104744202587,8.1025406271458,-2.30411230640118,-9.353780422674845
1682104744218597,9.262226291294724,-1.022354467078685,-7.461661707484495
1682104744234592,7.125963225757232,-0.5645838101777372,-6.607156481269499
1682104744250587,4.440375371938671,-1.5716792553597543,-7.919432364385443
1682104744266582,1.7547875181201107,-0.3509575036240449,-9.201190203707938
1682104744282577,0.5951018539711868,0.7171740291447577,-9.99465934233615
1682104744298572,-0.3204394598305953,1.968413824673803,-10.78812848096436
1682104744314567,0.41199359121083035,2.5177386129548722,-11.032272831311502
1682104744330562,0.5951018539711868,3.1586175326161765,-10.66605630579079
1682104744346557,-0.015259021896667946,3.097581445029391,-10.055695429922935
1682104744362552,-0.015259021896667946,2.731364919508678,-9.44533455405508
1682104744378547,1.3580529488059483,1.968413824673803,-8.62134737163342
1682104744394542,2.9449912260623705,0.8087281605248791,-7.888914320591994
1682104744410537,2.883955138475585,-0.015259021896667946,-7.217517357137353
1682104744426532,2.8229190508887996,-0.8697642481116645,-6.9733730067902115
1682104744442527,4.043640802624509,-0.7476920729380936,-6.240939955748786
1682104744458522,5.172808422980097,-0.22888532845047393,-6.088349736781879
1682104744474517,5.874723430228073,-0.8697642481116645,-6.790264744029855
1682104744490512,6.607156481269499,-1.3885709925993979,-6.88181887541009
1682104744506507,7.949950408178779,-1.8768596932936816,-5.966277561608308
