Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g)
1679688390801880,-0.9088883802548255,0.38275730525673346,0.09185931181811213
1679688390817875,-0.9099870298313877,0.3909361409933627,0.08624399176012787
1679688390833870,-0.9165789272907605,0.41266498817425834,0.07757686732280433
1679688390849865,-0.9359884031433583,0.44281681544213036,0.09344625009536855
1679688390865860,-0.9370870527199204,0.4157167925535976,0.09246967269397999
1679688390881855,-0.9585717555504694,0.3921568627450984,0.10931563286793278
1679688390897850,-0.9638208590829329,0.3637140459296555,0.11798275730525631
1679688390913845,-0.9573510337987337,0.3537041275654227,0.12298771648737272
1679688390929840,-0.9494163424124515,0.32355230029755067,0.12872510872053144
1679688390945835,-0.9328145265888454,0.2993820096131836,0.13971160448615283
1679688390961830,-0.9228046082246126,0.2991378652628365,0.14801251239795565
1679688390977825,-0.9120622568093384,0.29083695735103365,0.1432516975661864
1679688390993820,-0.9080338750286105,0.2991378652628365,0.13153276874952358
1679688391009815,-0.9129167620355534,0.310368505378805,0.12384222171358772
1679688391025810,-0.9285420004577705,0.32745860990310494,0.11871519035629774
1679688391041805,-0.948439765011063,0.3419851987487599,0.13275349050125929
1679688391057800,-0.9645532921339743,0.343938353551537,0.14508278019378995
1679688391073795,-0.9534447241931794,0.3258716716258485,0.1620508125429163
1679688391089790,-0.9328145265888454,0.3010910200656136,0.15509269855802277
1679688391105785,-0.9109636072327763,0.279362172884718,0.14044403753719426
1679688391121765,-0.905348287174792,0.27228198672465087,0.1419089036392771
1679688391137760,-0.913038834210727,0.2800946059357594,0.14373998626688067
1679688391153755,-0.9313496604867626,0.3141527428091857,0.14142061493858282
1679688391169750,-0.9522240024414437,0.3712825207904169,0.12750438696879574
1679688391185745,-0.9530785076676587,0.39667353322652055,0.11261158159761919
1679688391201740,-0.9405050736247809,0.3783627069504849,0.09832913710231139
1679688391217735,-0.9273212787060348,0.351628900587472,0.09112687876707071
1679688391233730,-0.9219501029983976,0.3344167238879985,0.09100480659189714
1679688391249725,-0.9251239795529105,0.3318532082093535,0.09527733272297212
1679688391265720,-0.9401388570992602,0.349065384908827,0.10699626153963493
1679688391281715,-0.9445334554055087,0.3566338597695884,0.10675211718928779
1679688391297710,-0.9466086823834594,0.3657892729076062,0.09539940489814569
1679688391313705,-0.9396505683985659,0.36981765468833405,0.0844129091325243
1679688391329700,-0.9359884031433583,0.37189288166628476,0.0814831769283586
1679688391345695,-0.9341573205157547,0.3709163042648962,0.08429083695735073
1679688391361690,-0.931227588311589,0.36481269550621764,0.08795300221255786
1679688391377685,-0.9318379491874569,0.3649347676813912,0.09417868314640998
1679688391393680,-0.9325703822384983,0.3650568398565648,0.09503318837262498
1679688391409675,-0.9336690318150604,0.3642023346303498,0.09027237354085571
1679688391425670,-0.9352559700923169,0.36188296330205194,0.0869764248111693
1679688391441681,-0.932936598764019,0.3640802624551762,0.07379262989242363
1679688391457676,-0.9297627222095062,0.3638361181048291,0.06866559853513365
1679688391473671,-0.9315938048371097,0.3570000762951091,0.07757686732280433
1679688391489666,-0.9330586709391926,0.3519951171129927,0.08514534218356573
1679688391505661,-0.9356221866178376,0.3506523231860834,0.0852674143587393
1679688391521656,-0.9335469596398869,0.3544365606164641,0.08599984740978073
1679688391537651,-0.9333028152895397,0.3565117875944148,0.08087281605249075
1679688391553646,-0.932936598764019,0.3532158388647284,0.08551155870908644
1679688391569641,-0.9368429083695733,0.35297169451438126,0.08722056916151644
1679688391585636,-0.9384298466468302,0.35126268406195127,0.08905165178912
1679688391601631,-0.9386739909971773,0.350774395361257,0.09076066224155
1679688391617626,-0.9357442587930112,0.35053025101090984,0.09002822919050857
1679688391633621,-0.933791103990234,0.34967574578469485,0.08929579613946714
1679688391649616,-0.9326924544136719,0.350774395361257,0.08880750743877286
1679688391665611,-0.9357442587930112,0.3502861066605627,0.08563363088426001
1679688391681606,-0.9384298466468302,0.35089646753643056,0.08392462043183002
1679688391697601,-0.9374532692454411,0.3495536736095213,0.08856336308842572
1679688391713596,-0.9347676813916226,0.3511406118867777,0.08380254825665645
1679688391729591,-0.9311055161364155,0.3562676432440677,0.07428091859311792
1679688391745586,-0.9300068665598533,0.3578545815213241,0.07733272297245719
1679688391761322,-0.9326924544136719,0.3607843137254898,0.07586785687037434
1679688391777316,-0.9311055161364155,0.3571221484702827,0.07721065079728362
1679688391793310,-0.9325703822384983,0.35223926146333984,0.08746471351186358
1679688391809304,-0.9313496604867626,0.34076447699702417,0.088197146562905
1679688391825298,-0.933791103990234,0.3402761882963299,0.09271381704432713
1679688391841292,-0.9387960631723509,0.34174105439841274,0.09405661097123641
1679688391857286,-0.9368429083695733,0.3486991683833063,0.089906157015335
1679688391873280,-0.9350118257419697,0.352483405813687,0.08929579613946714
1679688391889274,-0.9313496604867626,0.35761043717097696,0.08783093003738429
1679688391905268,-0.9296406500343326,0.35260547798886055,0.08307011520561502
